model_id,topic,question,option_A,option_B,option_C,option_D,answer,explanation
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Diabetes mellitus & hypoglycemia,"A 62-year-old male with a long-standing history of type 2 diabetes presents with increasing confusion, irritability, and a noticeable tremor. He reports feeling cold despite a normal room temperature. His blood glucose has been poorly controlled, and he admits to skipping meals. His current medication regimen includes metformin and a thiazide diuretic.",Initiate immediate intravenous dextrose therapy.,Confirm the diagnosis of hypoglycemia and assess for autonomic neuropathy.,Increase his dose of sulfonylureas.,Order a fasting lipid panel.,B,"The clinical picture – confusion, irritability, tremor, cold intolerance, and skipping meals – strongly suggests hypoglycemia, particularly in the presence of autonomic neuropathy (as evidenced by tremor and sweating, though sweating is often absent in later stages). Confirming the diagnosis is crucial, and assessing for autonomic neuropathy helps determine the underlying mechanism and guides treatment. Option A is too aggressive initially; Option C would likely worsen the hypoglycemia. Option D is not directly relevant to the immediate concern."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Thyroid disorders,"A 68-year-old male with a history of untreated Graves' disease presents with worsening fatigue, weight loss, and cold intolerance. His current medications include levothyroxine 15 mcg daily. His most recent TSH is 0.05 mIU/mL, and his free T4 is 2.8 ng/dL.",Immediately discontinue levothyroxine and initiate a full thyroidectomy.,Reduce the levothyroxine dose and monitor TSH and free T4 levels closely.,Increase the levothyroxine dose and re-evaluate in 4-6 weeks.,"Order an antibody panel (TRAb, TPOAb, TgAb) to assess for autonomous thyroiditis.",B,"The patient is clinically euthyroid (TSH 0.05, FT4 2.8) but is receiving levothyroxine, likely over-treated due to his prior hyperthyroidism. Reducing the dose and careful monitoring is the most appropriate initial approach to achieve euthyroidism and avoid hypothyroidism."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Adrenal disorders,"A 60-year-old male with a history of long-standing, poorly controlled hypertension and central obesity presents with significant fatigue, muscle weakness, and recent weight loss despite increased appetite. Initial laboratory tests reveal elevated serum cortisol, suppressed 24-hour urinary free cortisol, and elevated serum ACTH.",Primary adrenal insufficiency (Addison disease),Secondary adrenal insufficiency due to pituitary failure,Cushing syndrome,Pheochromocytoma,B,"The elevated ACTH level indicates that the pituitary gland is stimulating the adrenal glands, but the adrenal glands are not responding adequately, leading to suppressed cortisol and secondary adrenal insufficiency. The clinical picture of fatigue, weakness, and weight loss with hypertension and central obesity is classic for this pattern."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Pituitary & hypothalamic disorders,"A 38-year-old male with progressive fatigue, weight loss, and amenorrhea is found to have markedly low levels of morning serum cortisol. Pituitary MRI reveals a mac-sized pituitary adenoma.",Initiate immediate surgical resection of the adenoma.,Begin treatment with high-dose hydrocortisone and observe.,Prescribe levothyroxine to address the hypothyroidism.,Order a cerebrospinal fluid (CSF) tap to rule out carcinomatous meningitis.,B,"Patients with pituitary adenomas causing cortisol deficiency (adrenocorticolopexy) typically require replacement hydrocortisone. While surgical resection is the ultimate goal, initial stabilization with glucocorticoids and mineralocorticoid replacement is crucial. Option C is incorrect; hypothyroidism is a common consequence of pituitary dysfunction but is addressed *after* adequate cortisol replacement. Option D is not indicated as the primary initial step."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,"Calcium, parathyroid & metabolic bone disease","A 68-year-old woman with a history of poorly controlled chronic hyperthyroidism presents with new-onset fatigue, constipation, and bone pain. Her serum calcium is elevated to 11.8 mg/dL, and her parathyroid hormone (PTH) is suppressed. An initial DXA scan reveals osteopenia.",Initiate immediate treatment with intravenous bisphosphonates and calcium supplementation.,Suspect primary hyperparathyroidism and investigate with an sestu-MI scan.,Rule out vitamin D deficiency and consider thiazide diuretics.,Order a 24-hour urine collection for calcium and magnesium.,B,Elevated calcium and suppressed PTH strongly suggest primary hyperparathyroidism. The history of hyperthyroidism (which can sometimes cause PTH resistance) further supports this suspicion. A sestu-MI scan is crucial to localize the parathyroid glands. Bisphosphonates are premature without confirming the etiology.
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Female reproductive endocrinology,"A 32-year-old woman with amenorrhea for the past 12 months is found to have elevated serum FSH and LH levels, and low serum estradiol. She is premenopausal and reports no significant stress or weight loss.",Likely primary ovarian insufficiency (POI).,Suggestive of premature ovarian aging.,Most likely secondary ovarian failure due to pituitary dysfunction.,A normal finding in women experiencing mild anxiety.,A,"Elevated FSH and LH, with low estradiol, are classic findings of primary ovarian insufficiency (POI), indicating the ovaries are failing to respond adequately. Premature ovarian aging is a related, but the initial pattern points to ovarian failure. Secondary ovarian failure would be associated with low testosterone and prolactin. Anxiety can cause mild, transient changes, not typically this robust pattern."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Male reproductive endocrinology,"A 32-year-old male presents with progressive erectile dysfunction, decreased libido, and fatigue over the past 6 months. His serum testosterone is low (135 ng/dL). His pituitary MRI is normal.",Initiate immediate testosterone replacement therapy (TRT) with injectable testosterone.,Order a serum free testosterone level and a testosterone binding globulin (TBG) level.,Prescribe sildenafil and advise lifestyle modifications.,Order an FSH and LH level to rule out ovarian failure.,B,"A low total testosterone level can be misleading in men, as it can be influenced by the proportion of free testosterone (bound to SHBG) and TBG. Evaluating free testosterone and TBG is crucial to determine if the testosterone is biologically active and to identify potential causes of low testosterone (e.g., decreased SHBG)."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,"Obesity, lipids & nutrition","A 48-year-old male with a BMI of 32 kg/m² and a family history of early cardiovascular disease presents with increasing waist circumference, elevated triglycerides, and borderline elevated LDL cholesterol. He reports a diet high in processed foods and infrequent exercise.","Initiate immediate aggressive statin therapy and a low-fat, low-carbohydrate diet.","Counsel on lifestyle modifications including weight loss, increased physical activity, and dietary changes, followed by lipid panel re-evaluation.",Prescribe metformin to improve insulin sensitivity and address potential metabolic syndrome.,Order a coronary artery calcium (CAC) score to assess for underlying atherosclerosis.,B,"Lifestyle modifications are the cornerstone of initial management for obesity, dyslipidemia, and metabolic syndrome. Counseling, weight loss, exercise, and dietary changes are crucial before initiating pharmacologic interventions. A repeat lipid panel after these changes will assess response."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Endocrine neoplasia & hereditary syndromes,A 12-year-old child is diagnosed with Wilms' tumor. Initial evaluation reveals a markedly elevated serum metanephrine level and a normal plasma metanephrine-to-normetanephrine ratio.,This finding strongly suggests a benign pheochromocytoma.,"This finding is characteristic of familial paraganglioma (e.g., MEN2A) and suggests a potential for a pheochromocytoma.",This finding definitively rules out any possibility of a catecholamine-producing tumor.,This finding indicates an autonomously functioning cortisol-producing tumor.,B,"The elevated metanephrine level, *despite* a normal metanephrine-to-normetanephrine ratio, is a key feature of familial paraganglioma, particularly MEN2A. This ratio helps differentiate between benign and catecholamine-producing tumors.  A high metanephrine level suggests increased sympathetic nervous system chromaffin cell activity."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-lora,Pediatric endocrinology & growth/puberty,"A 9-year-old child presents with markedly elevated urine specific gravity, excessive thirst, and reports feeling very tired. Initial laboratory tests reveal a random plasma glucose of 160 mg/dL and a urine glucose level of 300 mg. The child is also experiencing significant irritability and difficulty concentrating.",Initiate immediate insulin therapy and initiate a strict low-carbohydrate diet.,"Suspect and investigate early onset type 1 diabetes mellitus, and assess for acanthosis nigricans.",Confirm the diagnosis of type 2 diabetes mellitus and prescribe oral metformin.,Order a comprehensive thyroid panel to rule out underlying hypothyroidism.,B,"The combination of polyuria, polydipsia, elevated glucose, and fatigue strongly suggests diabetes mellitus. In children, early-onset type 1 diabetes is a significant concern, particularly given the reported irritability and concentration difficulties. Acanthosis nigricans (skin darkening in body folds) is a characteristic sign of insulin resistance and supports the suspicion of type 1 or type 2 diabetes."
